,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,z,Deltatime,x,y,weight_calc,weights,Classe,Classe_spaziale
128,2014-11-06,2019,5.11,44.5858,9.4373,3.85,2,8,166,12,0.05,2.4,1.3,-3850.0,-3850.0,9440,1534741.31313229,4937050.786605616,0.08333333333333331,0.08333333333333331,3,0
130,2014-11-17,114,5.91,44.557,9.4593,1.04,2,26,101,14,0.31,1.2,1.0,-1040.0,-1040.0,9451,1536505.7155715043,4933861.235448581,0.8333333333333333,0.8333333333333333,3,0
131,2014-11-18,812,24.6,44.558,9.4553,6.99,2,18,120,14,0.25,0.9,1.2,-6990.0,-6990.0,9452,1536187.4094696676,4933970.538564275,0.5,0.5,3,0
132,2014-11-18,1140,38.34,44.557,9.4488,6.18,2,22,99,14,0.22,0.8,1.1,-6180.0,-6180.0,9452,1535671.7866157414,4933856.6020868495,0.6666666666666666,0.6666666666666666,3,0
135,2014-11-30,2147,2.98,44.5783,9.4412,5.82,2,18,112,12,0.26,1.3,1.9,-5820.0,-5820.0,9464,1535055.4050364012,4936219.341535739,0.5,0.5,3,0
136,2014-12-01,1948,22.39,44.5752,9.4555,5.05,2,22,103,13,0.23,0.8,1.0,-5050.0,-5050.0,9465,1536192.6424403298,4935881.22074006,0.6666666666666666,0.6666666666666666,3,0
137,2014-12-01,1953,15.18,44.5752,9.4555,5.22,2,24,103,13,0.25,0.9,1.2,-5220.0,-5220.0,9465,1536192.6424403298,4935881.22074006,0.75,0.75,3,0
138,2014-12-02,46,12.22,44.5677,9.4672,3.96,2,20,104,15,0.28,1.2,2.1,-3960.0,-3960.0,9466,1537126.352047918,4935053.358329283,0.5833333333333334,0.5833333333333334,3,0
139,2014-12-02,2101,8.57,44.5762,9.4515,4.58,2,18,102,13,0.26,1.3,1.3,-4580.0,-4580.0,9466,1535874.4403594476,4935990.538972699,0.5,0.5,3,0
140,2014-12-04,1033,1.89,44.559,9.4723,2.77,2,28,104,15,0.24,0.9,1.0,-2770.0,-2770.0,9468,1537536.915050494,4934089.282289912,0.9166666666666667,0.9166666666666667,3,0
142,2014-12-06,1024,48.76,44.559,9.4672,5.69,2,14,125,15,0.32,0.8,1.0,-5690.0,-5690.0,9470,1537131.8777035591,4934086.953918492,0.33333333333333337,0.33333333333333337,3,0
143,2014-12-09,1714,7.37,44.557,9.4488,4.54,2,20,99,14,0.19,0.9,1.6,-4540.0,-4540.0,9473,1535671.7866157414,4933856.6020868495,0.5833333333333334,0.5833333333333334,3,0
144,2014-12-11,1027,28.56,44.5677,9.462,4.58,2,24,103,14,0.32,1.5,1.1,-4580.0,-4580.0,9475,1536713.4343463525,4935051.010338416,0.75,0.75,3,0
145,2014-12-17,1421,14.56,44.5505,9.4697,3.56,2,30,102,15,0.34,0.8,0.7,-3560.0,-3560.0,9481,1537335.8521258037,4933143.905310345,1.0,1.0,3,0
146,2014-12-21,1246,11.98,44.5333,9.4722,6.0,2,38,100,17,0.34,2.0,1.9,-6000.0,-6000.0,9485,1537545.4657976683,4931234.464083337,1.3333333333333333,1.0,3,0
148,2014-12-24,44,10.39,44.5612,9.4515,5.2,2,34,100,14,0.27,1.0,1.1,-5200.0,-5200.0,9488,1535883.6478373755,4934324.3229773175,1.1666666666666667,1.0,3,0
149,2015-01-09,707,8.94,44.557,9.4748,4.49,2,12,104,16,0.18,1.2,1.0,-4490.0,-4490.0,9504,1537736.7535930432,4933868.271158277,0.25,0.25,3,0
150,2015-01-13,2211,28.15,44.5558,9.4788,4.29,2,18,105,16,0.24,1.1,1.2,-4290.0,-4290.0,9508,1538055.2218325115,4933736.827755781,0.5,0.5,3,0
151,2015-01-18,1632,19.43,44.559,9.4593,6.0,2,36,101,14,0.27,1.0,1.2,-6000.0,-6000.0,9513,1536504.4669213153,4934083.397170265,1.25,1.0,3,0
152,2015-01-19,1155,0.92,44.5633,9.4775,5.69,2,16,106,16,0.22,0.9,0.9,-5690.0,-5690.0,9514,1537947.1030937512,4934569.330348699,0.41666666666666663,0.41666666666666663,3,0
153,2015-02-10,218,16.53,44.5752,9.445,5.4,2,22,100,13,0.26,1.1,1.0,-5400.0,-5400.0,9536,1535358.9734948375,4935876.626136313,0.6666666666666666,0.6666666666666666,3,0
155,2015-02-13,1140,26.92,44.5483,9.4618,5.02,2,20,185,15,0.2,1.4,1.5,-5020.0,-5020.0,9539,1536709.7307808683,4932895.9518428035,0.5833333333333334,0.5833333333333334,3,0
156,2015-02-13,1556,26.04,44.5483,9.4618,4.36,2,40,100,15,0.26,0.9,1.1,-4360.0,-4360.0,9539,1536709.7307808683,4932895.9518428035,1.4166666666666667,1.0,3,0
157,2015-02-13,2304,4.26,44.5527,9.4697,5.82,2,38,102,15,0.25,1.2,1.4,-5820.0,-5820.0,9539,1537334.4476464204,4933388.282937408,1.3333333333333333,1.0,3,0
158,2015-03-07,2102,45.88,44.5655,9.4618,5.2,2,26,103,14,0.21,0.9,1.0,-5200.0,-5200.0,9561,1536698.9341063008,4934806.542293957,0.8333333333333333,0.8333333333333333,3,0
163,2015-03-26,1235,25.1,44.5548,9.4697,5.87,2,14,103,15,0.13,0.8,0.6,-5870.0,-5870.0,9580,1537333.1069553772,4933621.552578072,0.33333333333333337,0.33333333333333337,3,0
164,2015-04-04,2311,21.31,44.5677,9.4515,5.82,2,24,120,13,0.2,1.0,1.3,-5820.0,-5820.0,9589,1535879.6582338642,4935046.349372641,0.75,0.75,3,0
165,2015-04-21,359,31.17,44.5677,9.4463,5.64,2,28,100,13,0.21,0.6,0.2,-5640.0,-5640.0,9606,1535466.740547707,4935044.080787806,0.9166666666666667,0.9166666666666667,3,0
167,2015-06-29,2205,35.5,44.572,9.4437,8.52,2,32,100,13,0.29,0.9,0.6,-8520.0,-8520.0,9675,1535257.6878112927,4935520.605030541,1.0833333333333333,1.0,3,0
