,Data,Ora,Sec,Latitud.,Longit.,Prof.,Mag,Nf,Gap,Dst,Rms,Erh,Erz,Prof corr,x,y,z,Data_subtr,Deltatime,weight_calc,weights,Classe,Classe_spaziale
104,2014-04-03,446,31.75,44.5548,9.4723,5.29,2,18,103,15,0.22,0.7,0.8,-5290.0,5664590.745470402,1283261.0458930698,-5290.0,1989-01-01,9223,0.5,0.5,2,0
107,2014-04-13,1902,4.63,44.5602,9.4632,4.56,2,26,102,15,0.25,1.1,1.1,-4560.0,5665454.673601826,1282124.2386803704,-4560.0,1989-01-01,9233,0.8333333333333333,0.8333333333333333,2,0
108,2014-04-13,1950,27.97,44.5612,9.4645,4.85,2,28,103,15,0.28,0.8,0.9,-4850.0,5665567.396198214,1282314.4990579311,-4850.0,1989-01-01,9233,0.9166666666666667,0.9166666666666667,2,0
111,2014-04-18,1909,26.31,44.5548,9.4358,6.4,2,8,147,13,0.06,2.3,1.8,-6400.0,5665167.92164747,1278360.7084814836,-6400.0,1989-01-01,9238,0.08333333333333331,0.08333333333333331,2,0
112,2014-04-18,1911,40.23,44.5602,9.4683,5.62,2,20,133,15,0.22,1.0,1.3,-5620.0,5665373.90965073,1282808.9634548824,-5620.0,1989-01-01,9238,0.5833333333333334,0.5833333333333334,2,0
114,2014-05-22,1013,1.39,44.5505,9.4593,3.92,2,22,100,15,0.2,1.1,1.0,-3920.0,5664223.383780697,1281448.2360823594,-3920.0,1989-01-01,9272,0.6666666666666666,0.6666666666666666,2,0
118,2014-05-23,57,53.56,44.542,9.4722,2.9,2,20,123,16,0.29,1.2,2.0,-2900.0,5662886.338140238,1283046.350046571,-2900.0,1989-01-01,9273,0.5833333333333334,0.5833333333333334,2,0
119,2014-05-23,101,45.94,44.544,9.467,4.67,2,26,101,16,0.23,0.9,1.6,-4670.0,5663235.197526904,1282379.778108891,-4670.0,1989-01-01,9273,0.8333333333333333,0.8333333333333333,2,0
120,2014-05-23,106,33.77,44.5377,9.4697,4.71,2,40,100,16,0.25,1.3,1.5,-4710.0,5662352.856026208,1282643.20665961,-4710.0,1989-01-01,9273,1.4166666666666667,1.0,2,0
121,2014-05-23,229,33.97,44.5398,9.4773,6.0,2,36,102,17,0.26,0.9,1.3,-6000.0,5662512.388616739,1283696.314920736,-6000.0,1989-01-01,9273,1.25,1.0,2,0
124,2014-07-18,126,38.62,44.5612,9.4697,4.98,2,16,104,15,0.23,1.0,1.1,-4980.0,5665485.033312431,1283012.6552152631,-4980.0,1989-01-01,9329,0.41666666666666663,0.41666666666666663,2,0
125,2014-07-31,840,41.04,44.559,9.4515,6.0,2,30,100,14,0.36,1.1,1.1,-6000.0,5665479.820576448,1280534.5212225227,-6000.0,1989-01-01,9342,1.0,1.0,2,0
